Address,Property Type,Sq. Ft.,Owner,Market Value,Assessed Value,Tax,Penalty,Interest,Total
1879 MAIN ST,RESIDENTIAL B,"6,383",1879 MAIN ST LAND TR Fee Owner,"$740,654","$37,903",$0,$0.00,$0.00,$0.00
2984 MAIN ST,RESIDENTIAL B,"4,768",2984 MAIN ST LAND TR Fee Owner,"$112,243","$108,392",$0,$0.00,$0.00,$0.00
5001 MAIN ST,COMMERCIAL B,"8,818",5001 MAIN ST LAND TR Fee Owner,"$844,914","$182,905",$0,$0.00,$0.00,$0.00
4232 MAIN ST,COMMERCIAL A,"5,845",4232 MAIN ST LAND TR Fee Owner,"$178,648","$15,072",$0,$0.00,$0.00,$0.00
7423 MAIN ST,RESIDENTIAL A,"8,191",7423 MAIN ST LAND TR Fee Owner,"$160,981","$107,429",$0,$0.00,$0.00,$0.00
6034 MAIN ST,COMMERCIAL B,"5,789",6034 MAIN ST LAND TR Fee Owner,"$95,195","$52,325",$0,$0.00,$0.00,$0.00
3091 MAIN ST,COMMERCIAL A,"5,864",3091 MAIN ST LAND TR Fee Owner,"$100,288","$63,238",$0,$0.00,$0.00,$0.00
3248 MAIN ST,RESIDENTIAL A,"4,826",3248 MAIN ST LAND TR Fee Owner,"$896,512","$59,332",$0,$0.00,$0.00,$0.00
4522 MAIN ST,RESIDENTIAL A,"5,342",4522 MAIN ST LAND TR Fee Owner,"$76,044","$33,272",$0,$0.00,$0.00,$0.00
3452 MAIN ST,RESIDENTIAL A,"5,446",3452 MAIN ST LAND TR Fee Owner,"$395,560","$184,853",$0,$0.00,$0.00,$0.00
2614 MAIN ST,COMMERCIAL B,"7,251",2614 MAIN ST LAND TR Fee Owner,"$936,519","$120,555",$0,$0.00,$0.00,$0.00
7686 MAIN ST,COMMERCIAL A,"3,703",7686 MAIN ST LAND TR Fee Owner,"$182,945","$40,001",$0,$0.00,$0.00,$0.00
6240 MAIN ST,COMMERCIAL B,"2,234",6240 MAIN ST LAND TR Fee Owner,"$727,017","$36,352",$0,$0.00,$0.00,$0.00
5113 MAIN ST,RESIDENTIAL B,"9,453",5113 MAIN ST LAND TR Fee Owner,"$348,069","$57,349",$0,$0.00,$0.00,$0.00
7950 MAIN ST,COMMERCIAL B,"5,328",7950 MAIN ST LAND TR Fee Owner,"$725,621","$50,015",$0,$0.00,$0.00,$0.00
3578 MAIN ST,RESIDENTIAL A,"3,389",3578 MAIN ST LAND TR Fee Owner,"$333,944","$142,887",$0,$0.00,$0.00,$0.00
6070 MAIN ST,RESIDENTIAL A,"7,556",6070 MAIN ST LAND TR Fee Owner,"$901,083","$58,639",$0,$0.00,$0.00,$0.00
2806 MAIN ST,RESIDENTIAL A,"5,358",2806 MAIN ST LAND TR Fee Owner,"$595,766","$74,985",$0,$0.00,$0.00,$0.00
6791 MAIN ST,RESIDENTIAL B,"5,728",6791 MAIN ST LAND TR Fee Owner,"$937,168","$40,545",$0,$0.00,$0.00,$0.00
7278 MAIN ST,RESIDENTIAL A,"5,516",7278 MAIN ST LAND TR Fee Owner,"$458,205","$90,809",$0,$0.00,$0.00,$0.00
6935 MAIN ST,COMMERCIAL B,"6,582",6935 MAIN ST LAND TR Fee Owner,"$520,762","$138,761",$0,$0.00,$0.00,$0.00
8470 MAIN ST,COMMERCIAL A,"1,142",8470 MAIN ST LAND TR Fee Owner,"$600,421","$150,454",$0,$0.00,$0.00,$0.00
6610 MAIN ST,COMMERCIAL B,"6,928",6610 MAIN ST LAND TR Fee Owner,"$810,279","$154,623",$0,$0.00,$0.00,$0.00
6006 MAIN ST,COMMERCIAL B,"9,934",6006 MAIN ST LAND TR Fee Owner,"$580,086","$175,355",$0,$0.00,$0.00,$0.00
4652 MAIN ST,COMMERCIAL A,"8,004",4652 MAIN ST LAND TR Fee Owner,"$601,966","$101,095",$0,$0.00,$0.00,$0.00
2244 MAIN ST,COMMERCIAL B,"3,364",2244 MAIN ST LAND TR Fee Owner,"$151,584","$38,672",$0,$0.00,$0.00,$0.00
6321 MAIN ST,COMMERCIAL B,"1,291",6321 MAIN ST LAND TR Fee Owner,"$170,034","$132,748",$0,$0.00,$0.00,$0.00
8760 MAIN ST,COMMERCIAL B,"8,602",8760 MAIN ST LAND TR Fee Owner,"$456,694","$190,781",$0,$0.00,$0.00,$0.00
2600 MAIN ST,RESIDENTIAL B,"6,951",2600 MAIN ST LAND TR Fee Owner,"$618,266","$31,981",$0,$0.00,$0.00,$0.00
5832 MAIN ST,COMMERCIAL A,"1,078",5832 MAIN ST LAND TR Fee Owner,"$236,376","$34,665",$0,$0.00,$0.00,$0.00
5512 MAIN ST,COMMERCIAL A,"6,027",5512 MAIN ST LAND TR Fee Owner,"$715,446","$69,763",$0,$0.00,$0.00,$0.00
2801 MAIN ST,RESIDENTIAL B,"4,584",2801 MAIN ST LAND TR Fee Owner,"$65,886","$82,981",$0,$0.00,$0.00,$0.00
1338 MAIN ST,RESIDENTIAL A,"2,465",1338 MAIN ST LAND TR Fee Owner,"$803,079","$151,269",$0,$0.00,$0.00,$0.00
3912 MAIN ST,COMMERCIAL A,"9,340",3912 MAIN ST LAND TR Fee Owner,"$791,897","$72,133",$0,$0.00,$0.00,$0.00
2015 MAIN ST,COMMERCIAL A,"8,712",2015 MAIN ST LAND TR Fee Owner,"$621,707","$106,912",$0,$0.00,$0.00,$0.00
2397 MAIN ST,RESIDENTIAL A,"1,601",2397 MAIN ST LAND TR Fee Owner,"$50,164","$146,683",$0,$0.00,$0.00,$0.00
9959 MAIN ST,COMMERCIAL A,"4,522",9959 MAIN ST LAND TR Fee Owner,"$502,606","$50,971",$0,$0.00,$0.00,$0.00
6600 MAIN ST,RESIDENTIAL A,"3,789",6600 MAIN ST LAND TR Fee Owner,"$270,636","$32,266",$0,$0.00,$0.00,$0.00
8174 MAIN ST,COMMERCIAL A,"6,793",8174 MAIN ST LAND TR Fee Owner,"$278,858","$50,828",$0,$0.00,$0.00,$0.00
9814 MAIN ST,COMMERCIAL A,"4,678",9814 MAIN ST LAND TR Fee Owner,"$220,704","$78,682",$0,$0.00,$0.00,$0.00
4535 MAIN ST,COMMERCIAL A,"5,766",4535 MAIN ST LAND TR Fee Owner,"$165,838","$63,249",$0,$0.00,$0.00,$0.00
7113 MAIN ST,COMMERCIAL A,"5,346",7113 MAIN ST LAND TR Fee Owner,"$826,870","$133,775",$0,$0.00,$0.00,$0.00
4243 MAIN ST,RESIDENTIAL B,"9,893",4243 MAIN ST LAND TR Fee Owner,"$180,052","$71,883",$0,$0.00,$0.00,$0.00
2795 MAIN ST,RESIDENTIAL A,"8,337",2795 MAIN ST LAND TR Fee Owner,"$65,157","$87,057",$0,$0.00,$0.00,$0.00
2593 MAIN ST,RESIDENTIAL A,"5,942",2593 MAIN ST LAND TR Fee Owner,"$331,181","$117,783",$0,$0.00,$0.00,$0.00
9288 MAIN ST,COMMERCIAL B,"1,225",9288 MAIN ST LAND TR Fee Owner,"$557,925","$94,737",$0,$0.00,$0.00,$0.00
4068 MAIN ST,COMMERCIAL A,"9,386",4068 MAIN ST LAND TR Fee Owner,"$681,134","$166,957",$0,$0.00,$0.00,$0.00
3604 MAIN ST,RESIDENTIAL A,"4,763",3604 MAIN ST LAND TR Fee Owner,"$708,823","$88,305",$0,$0.00,$0.00,$0.00
5405 MAIN ST,COMMERCIAL A,"5,674",5405 MAIN ST LAND TR Fee Owner,"$55,508","$88,270",$0,$0.00,$0.00,$0.00
9574 MAIN ST,COMMERCIAL A,"9,527",9574 MAIN ST LAND TR Fee Owner,"$479,600","$137,486",$0,$0.00,$0.00,$0.00
9978 MAIN ST,COMMERCIAL A,"8,888",9978 MAIN ST LAND TR Fee Owner,"$584,476","$107,872",$0,$0.00,$0.00,$0.00
5786 MAIN ST,COMMERCIAL B,"6,262",5786 MAIN ST LAND TR Fee Owner,"$225,937","$59,448",$0,$0.00,$0.00,$0.00
3124 MAIN ST,COMMERCIAL B,"8,665",3124 MAIN ST LAND TR Fee Owner,"$481,228","$79,208",$0,$0.00,$0.00,$0.00
1135 MAIN ST,COMMERCIAL A,"6,569",1135 MAIN ST LAND TR Fee Owner,"$888,229","$165,192",$0,$0.00,$0.00,$0.00
9669 MAIN ST,RESIDENTIAL B,"2,450",9669 MAIN ST LAND TR Fee Owner,"$700,670","$128,628",$0,$0.00,$0.00,$0.00
6817 MAIN ST,COMMERCIAL A,"3,372",6817 MAIN ST LAND TR Fee Owner,"$614,528","$55,721",$0,$0.00,$0.00,$0.00
6796 MAIN ST,COMMERCIAL A,"5,792",6796 MAIN ST LAND TR Fee Owner,"$192,064","$182,543",$0,$0.00,$0.00,$0.00
9920 MAIN ST,RESIDENTIAL A,"7,794",9920 MAIN ST LAND TR Fee Owner,"$576,870","$121,983",$0,$0.00,$0.00,$0.00
6072 MAIN ST,COMMERCIAL B,"5,529",6072 MAIN ST LAND TR Fee Owner,"$521,230","$113,578",$0,$0.00,$0.00,$0.00
6781 MAIN ST,RESIDENTIAL A,"7,073",6781 MAIN ST LAND TR Fee Owner,"$162,021","$167,264",$0,$0.00,$0.00,$0.00
3249 MAIN ST,RESIDENTIAL B,"7,413",3249 MAIN ST LAND TR Fee Owner,"$664,685","$131,438",$0,$0.00,$0.00,$0.00
5948 MAIN ST,COMMERCIAL A,"5,575",5948 MAIN ST LAND TR Fee Owner,"$424,182","$186,143",$0,$0.00,$0.00,$0.00
8796 MAIN ST,COMMERCIAL B,"9,702",8796 MAIN ST LAND TR Fee Owner,"$988,407","$51,522",$0,$0.00,$0.00,$0.00
3039 MAIN ST,COMMERCIAL A,"7,785",3039 MAIN ST LAND TR Fee Owner,"$659,891","$13,987",$0,$0.00,$0.00,$0.00
2332 MAIN ST,COMMERCIAL A,"5,473",2332 MAIN ST LAND TR Fee Owner,"$921,653","$169,991",$0,$0.00,$0.00,$0.00
9070 MAIN ST,COMMERCIAL B,"9,277",9070 MAIN ST LAND TR Fee Owner,"$757,132","$59,556",$0,$0.00,$0.00,$0.00
6291 MAIN ST,RESIDENTIAL B,"4,814",6291 MAIN ST LAND TR Fee Owner,"$82,321","$156,727",$0,$0.00,$0.00,$0.00
3198 MAIN ST,COMMERCIAL B,"4,526",3198 MAIN ST LAND TR Fee Owner,"$364,226","$183,212",$0,$0.00,$0.00,$0.00
6399 MAIN ST,RESIDENTIAL B,"3,276",6399 MAIN ST LAND TR Fee Owner,"$579,999","$178,577",$0,$0.00,$0.00,$0.00
6737 MAIN ST,COMMERCIAL B,"4,838",6737 MAIN ST LAND TR Fee Owner,"$378,829","$83,162",$0,$0.00,$0.00,$0.00
6789 MAIN ST,RESIDENTIAL A,"7,422",6789 MAIN ST LAND TR Fee Owner,"$673,737","$11,522",$0,$0.00,$0.00,$0.00
2633 MAIN ST,RESIDENTIAL B,"8,172",2633 MAIN ST LAND TR Fee Owner,"$428,186","$169,026",$0,$0.00,$0.00,$0.00
3269 MAIN ST,COMMERCIAL B,"6,832",3269 MAIN ST LAND TR Fee Owner,"$689,721","$16,137",$0,$0.00,$0.00,$0.00
3723 MAIN ST,COMMERCIAL A,"9,079",3723 MAIN ST LAND TR Fee Owner,"$238,575","$188,465",$0,$0.00,$0.00,$0.00
7782 MAIN ST,RESIDENTIAL B,"1,154",7782 MAIN ST LAND TR Fee Owner,"$671,152","$22,525",$0,$0.00,$0.00,$0.00
5174 MAIN ST,RESIDENTIAL B,"4,168",5174 MAIN ST LAND TR Fee Owner,"$485,434","$98,954",$0,$0.00,$0.00,$0.00
1738 MAIN ST,RESIDENTIAL B,"8,190",1738 MAIN ST LAND TR Fee Owner,"$386,883","$57,295",$0,$0.00,$0.00,$0.00
4607 MAIN ST,COMMERCIAL A,"8,688",4607 MAIN ST LAND TR Fee Owner,"$929,529","$38,563",$0,$0.00,$0.00,$0.00
1370 MAIN ST,COMMERCIAL B,"3,233",1370 MAIN ST LAND TR Fee Owner,"$711,903","$7,464",$0,$0.00,$0.00,$0.00
5684 MAIN ST,COMMERCIAL A,"6,704",5684 MAIN ST LAND TR Fee Owner,"$495,010","$60,944",$0,$0.00,$0.00,$0.00
4287 MAIN ST,RESIDENTIAL B,"4,648",4287 MAIN ST LAND TR Fee Owner,"$663,569","$130,710",$0,$0.00,$0.00,$0.00
7957 MAIN ST,RESIDENTIAL A,"5,502",7957 MAIN ST LAND TR Fee Owner,"$472,381","$199,639",$0,$0.00,$0.00,$0.00
2572 MAIN ST,RESIDENTIAL A,"5,501",2572 MAIN ST LAND TR Fee Owner,"$396,731","$17,724",$0,$0.00,$0.00,$0.00
8585 MAIN ST,RESIDENTIAL A,"3,217",8585 MAIN ST LAND TR Fee Owner,"$686,491","$189,316",$0,$0.00,$0.00,$0.00
5191 MAIN ST,COMMERCIAL A,"6,085",5191 MAIN ST LAND TR Fee Owner,"$658,920","$50,958",$0,$0.00,$0.00,$0.00
9645 MAIN ST,RESIDENTIAL A,"7,860",9645 MAIN ST LAND TR Fee Owner,"$611,023","$169,670",$0,$0.00,$0.00,$0.00
4573 MAIN ST,RESIDENTIAL A,"3,047",4573 MAIN ST LAND TR Fee Owner,"$352,697","$82,222",$0,$0.00,$0.00,$0.00
3865 MAIN ST,RESIDENTIAL A,"9,702",3865 MAIN ST LAND TR Fee Owner,"$714,489","$61,595",$0,$0.00,$0.00,$0.00
2895 MAIN ST,COMMERCIAL B,"6,313",2895 MAIN ST LAND TR Fee Owner,"$246,145","$117,827",$0,$0.00,$0.00,$0.00
1010 MAIN ST,RESIDENTIAL A,"5,777",1010 MAIN ST LAND TR Fee Owner,"$927,715","$59,042",$0,$0.00,$0.00,$0.00
7262 MAIN ST,RESIDENTIAL B,"9,581",7262 MAIN ST LAND TR Fee Owner,"$537,930","$123,696",$0,$0.00,$0.00,$0.00
7091 MAIN ST,RESIDENTIAL A,"9,984",7091 MAIN ST LAND TR Fee Owner,"$329,762","$109,461",$0,$0.00,$0.00,$0.00
6794 MAIN ST,RESIDENTIAL A,"8,140",6794 MAIN ST LAND TR Fee Owner,"$141,401","$170,991",$0,$0.00,$0.00,$0.00
5311 MAIN ST,RESIDENTIAL B,"5,750",5311 MAIN ST LAND TR Fee Owner,"$333,504","$106,055",$0,$0.00,$0.00,$0.00
5966 MAIN ST,COMMERCIAL B,"1,950",5966 MAIN ST LAND TR Fee Owner,"$431,144","$128,914",$0,$0.00,$0.00,$0.00
5565 MAIN ST,COMMERCIAL A,"2,241",5565 MAIN ST LAND TR Fee Owner,"$606,244","$49,084",$0,$0.00,$0.00,$0.00
2311 MAIN ST,COMMERCIAL A,"1,773",2311 MAIN ST LAND TR Fee Owner,"$661,025","$118,615",$0,$0.00,$0.00,$0.00
4986 MAIN ST,COMMERCIAL B,"6,151",4986 MAIN ST LAND TR Fee Owner,"$642,691","$66,610",$0,$0.00,$0.00,$0.00
1701 MAIN ST,COMMERCIAL A,"9,151",1701 MAIN ST LAND TR Fee Owner,"$585,182","$25,534",$0,$0.00,$0.00,$0.00
2597 MAIN ST,RESIDENTIAL B,"6,641",2597 MAIN ST LAND TR Fee Owner,"$284,120","$59,174",$0,$0.00,$0.00,$0.00
3905 MAIN ST,RESIDENTIAL B,"5,867",3905 MAIN ST LAND TR Fee Owner,"$412,983","$104,404",$0,$0.00,$0.00,$0.00
1263 MAIN ST,COMMERCIAL B,"5,700",1263 MAIN ST LAND TR Fee Owner,"$973,079","$141,951",$0,$0.00,$0.00,$0.00
5371 MAIN ST,RESIDENTIAL A,"8,256",5371 MAIN ST LAND TR Fee Owner,"$175,985","$138,768",$0,$0.00,$0.00,$0.00
6463 MAIN ST,COMMERCIAL A,"7,279",6463 MAIN ST LAND TR Fee Owner,"$916,787","$76,863",$0,$0.00,$0.00,$0.00
9325 MAIN ST,RESIDENTIAL B,"9,809",9325 MAIN ST LAND TR Fee Owner,"$619,415","$27,255",$0,$0.00,$0.00,$0.00
9277 MAIN ST,RESIDENTIAL B,"5,838",9277 MAIN ST LAND TR Fee Owner,"$261,500","$11,169",$0,$0.00,$0.00,$0.00
5320 MAIN ST,RESIDENTIAL A,"6,077",5320 MAIN ST LAND TR Fee Owner,"$870,228","$33,630",$0,$0.00,$0.00,$0.00
2780 MAIN ST,COMMERCIAL A,"3,738",2780 MAIN ST LAND TR Fee Owner,"$582,941","$163,751",$0,$0.00,$0.00,$0.00
8948 MAIN ST,COMMERCIAL A,"3,604",8948 MAIN ST LAND TR Fee Owner,"$58,254","$57,729",$0,$0.00,$0.00,$0.00
1926 MAIN ST,RESIDENTIAL A,"9,992",1926 MAIN ST LAND TR Fee Owner,"$761,701","$35,074",$0,$0.00,$0.00,$0.00
6654 MAIN ST,COMMERCIAL B,"3,637",6654 MAIN ST LAND TR Fee Owner,"$889,818","$53,672",$0,$0.00,$0.00,$0.00
9950 MAIN ST,RESIDENTIAL B,"5,223",9950 MAIN ST LAND TR Fee Owner,"$410,266","$100,732",$0,$0.00,$0.00,$0.00
2844 MAIN ST,COMMERCIAL B,"5,107",2844 MAIN ST LAND TR Fee Owner,"$795,883","$106,580",$0,$0.00,$0.00,$0.00
5478 MAIN ST,RESIDENTIAL A,"1,332",5478 MAIN ST LAND TR Fee Owner,"$120,184","$105,337",$0,$0.00,$0.00,$0.00
9634 MAIN ST,COMMERCIAL A,"7,558",9634 MAIN ST LAND TR Fee Owner,"$89,146","$138,636",$0,$0.00,$0.00,$0.00
7536 MAIN ST,COMMERCIAL B,"7,819",7536 MAIN ST LAND TR Fee Owner,"$232,207","$86,347",$0,$0.00,$0.00,$0.00
9854 MAIN ST,COMMERCIAL B,"3,570",9854 MAIN ST LAND TR Fee Owner,"$718,988","$91,863",$0,$0.00,$0.00,$0.00
3202 MAIN ST,COMMERCIAL B,"6,040",3202 MAIN ST LAND TR Fee Owner,"$612,170","$143,250",$0,$0.00,$0.00,$0.00
8616 MAIN ST,RESIDENTIAL B,"4,670",8616 MAIN ST LAND TR Fee Owner,"$89,694","$12,987",$0,$0.00,$0.00,$0.00
7891 MAIN ST,COMMERCIAL B,"2,306",7891 MAIN ST LAND TR Fee Owner,"$907,111","$75,227",$0,$0.00,$0.00,$0.00
5793 MAIN ST,RESIDENTIAL A,"4,492",5793 MAIN ST LAND TR Fee Owner,"$826,303","$64,711",$0,$0.00,$0.00,$0.00
2259 MAIN ST,COMMERCIAL A,"5,541",2259 MAIN ST LAND TR Fee Owner,"$642,354","$41,236",$0,$0.00,$0.00,$0.00
9315 MAIN ST,COMMERCIAL A,"2,905",9315 MAIN ST LAND TR Fee Owner,"$356,603","$47,470",$0,$0.00,$0.00,$0.00
7269 MAIN ST,RESIDENTIAL B,"2,501",7269 MAIN ST LAND TR Fee Owner,"$772,575","$14,923",$0,$0.00,$0.00,$0.00
2141 MAIN ST,COMMERCIAL A,"6,934",2141 MAIN ST LAND TR Fee Owner,"$78,428","$79,035",$0,$0.00,$0.00,$0.00
7560 MAIN ST,RESIDENTIAL B,"9,512",7560 MAIN ST LAND TR Fee Owner,"$167,477","$174,457",$0,$0.00,$0.00,$0.00
8792 MAIN ST,COMMERCIAL B,"2,786",8792 MAIN ST LAND TR Fee Owner,"$842,919","$135,900",$0,$0.00,$0.00,$0.00
3451 MAIN ST,COMMERCIAL B,"9,030",3451 MAIN ST LAND TR Fee Owner,"$914,695","$199,325",$0,$0.00,$0.00,$0.00
1924 MAIN ST,COMMERCIAL A,"5,361",1924 MAIN ST LAND TR Fee Owner,"$688,935","$193,075",$0,$0.00,$0.00,$0.00
9939 MAIN ST,COMMERCIAL B,"7,453",9939 MAIN ST LAND TR Fee Owner,"$251,558","$147,218",$0,$0.00,$0.00,$0.00
2657 MAIN ST,COMMERCIAL B,"7,760",2657 MAIN ST LAND TR Fee Owner,"$155,971","$17,519",$0,$0.00,$0.00,$0.00
5497 MAIN ST,COMMERCIAL B,"2,660",5497 MAIN ST LAND TR Fee Owner,"$59,409","$67,505",$0,$0.00,$0.00,$0.00
7797 MAIN ST,COMMERCIAL A,"6,718",7797 MAIN ST LAND TR Fee Owner,"$266,194","$85,936",$0,$0.00,$0.00,$0.00
2493 MAIN ST,COMMERCIAL A,"3,438",2493 MAIN ST LAND TR Fee Owner,"$572,240","$32,964",$0,$0.00,$0.00,$0.00
9641 MAIN ST,COMMERCIAL B,"3,434",9641 MAIN ST LAND TR Fee Owner,"$958,480","$126,293",$0,$0.00,$0.00,$0.00
2567 MAIN ST,RESIDENTIAL B,"8,028",2567 MAIN ST LAND TR Fee Owner,"$338,437","$76,110",$0,$0.00,$0.00,$0.00
3688 MAIN ST,COMMERCIAL A,"5,026",3688 MAIN ST LAND TR Fee Owner,"$883,138","$147,328",$0,$0.00,$0.00,$0.00
5338 MAIN ST,COMMERCIAL A,"3,557",5338 MAIN ST LAND TR Fee Owner,"$231,544","$141,240",$0,$0.00,$0.00,$0.00
1586 MAIN ST,COMMERCIAL B,"4,403",1586 MAIN ST LAND TR Fee Owner,"$341,410","$5,509",$0,$0.00,$0.00,$0.00
4489 MAIN ST,RESIDENTIAL B,"2,040",4489 MAIN ST LAND TR Fee Owner,"$176,848","$187,057",$0,$0.00,$0.00,$0.00
6556 MAIN ST,COMMERCIAL B,"7,097",6556 MAIN ST LAND TR Fee Owner,"$332,888","$19,674",$0,$0.00,$0.00,$0.00
3071 MAIN ST,RESIDENTIAL A,"7,904",3071 MAIN ST LAND TR Fee Owner,"$136,331","$111,270",$0,$0.00,$0.00,$0.00
8036 MAIN ST,RESIDENTIAL B,"2,757",8036 MAIN ST LAND TR Fee Owner,"$290,963","$32,106",$0,$0.00,$0.00,$0.00
4639 MAIN ST,RESIDENTIAL B,"8,088",4639 MAIN ST LAND TR Fee Owner,"$834,685","$8,969",$0,$0.00,$0.00,$0.00
8143 MAIN ST,RESIDENTIAL A,"3,693",8143 MAIN ST LAND TR Fee Owner,"$992,017","$67,286",$0,$0.00,$0.00,$0.00
6451 MAIN ST,RESIDENTIAL B,"8,650",6451 MAIN ST LAND TR Fee Owner,"$755,842","$22,517",$0,$0.00,$0.00,$0.00
7605 MAIN ST,COMMERCIAL A,"4,322",7605 MAIN ST LAND TR Fee Owner,"$126,449","$153,123",$0,$0.00,$0.00,$0.00
9891 MAIN ST,COMMERCIAL A,"2,776",9891 MAIN ST LAND TR Fee Owner,"$340,795","$39,644",$0,$0.00,$0.00,$0.00
7160 MAIN ST,COMMERCIAL B,"4,797",7160 MAIN ST LAND TR Fee Owner,"$623,309","$106,232",$0,$0.00,$0.00,$0.00
1171 MAIN ST,RESIDENTIAL A,"9,659",1171 MAIN ST LAND TR Fee Owner,"$250,398","$108,754",$0,$0.00,$0.00,$0.00
9422 MAIN ST,COMMERCIAL B,"9,962",9422 MAIN ST LAND TR Fee Owner,"$946,510","$83,898",$0,$0.00,$0.00,$0.00
2004 MAIN ST,RESIDENTIAL B,"7,369",2004 MAIN ST LAND TR Fee Owner,"$165,120","$133,087",$0,$0.00,$0.00,$0.00
8228 MAIN ST,RESIDENTIAL A,"4,806",8228 MAIN ST LAND TR Fee Owner,"$685,622","$107,464",$0,$0.00,$0.00,$0.00
6811 MAIN ST,COMMERCIAL A,"3,973",6811 MAIN ST LAND TR Fee Owner,"$868,582","$145,796",$0,$0.00,$0.00,$0.00
2198 MAIN ST,RESIDENTIAL A,"2,287",2198 MAIN ST LAND TR Fee Owner,"$737,497","$128,239",$0,$0.00,$0.00,$0.00
7984 MAIN ST,COMMERCIAL A,"8,014",7984 MAIN ST LAND TR Fee Owner,"$631,799","$104,888",$0,$0.00,$0.00,$0.00
4897 MAIN ST,RESIDENTIAL B,"6,119",4897 MAIN ST LAND TR Fee Owner,"$294,191","$84,606",$0,$0.00,$0.00,$0.00
7202 MAIN ST,COMMERCIAL B,"1,475",7202 MAIN ST LAND TR Fee Owner,"$509,463","$110,096",$0,$0.00,$0.00,$0.00
4301 MAIN ST,RESIDENTIAL A,"9,690",4301 MAIN ST LAND TR Fee Owner,"$210,570","$35,832",$0,$0.00,$0.00,$0.00
7123 MAIN ST,RESIDENTIAL A,"8,833",7123 MAIN ST LAND TR Fee Owner,"$546,263","$183,768",$0,$0.00,$0.00,$0.00
9853 MAIN ST,COMMERCIAL B,"8,146",9853 MAIN ST LAND TR Fee Owner,"$506,581","$169,715",$0,$0.00,$0.00,$0.00
6465 MAIN ST,RESIDENTIAL A,"8,583",6465 MAIN ST LAND TR Fee Owner,"$903,044","$98,639",$0,$0.00,$0.00,$0.00
9745 MAIN ST,COMMERCIAL B,"3,476",9745 MAIN ST LAND TR Fee Owner,"$378,570","$138,054",$0,$0.00,$0.00,$0.00
7778 MAIN ST,COMMERCIAL A,"7,372",7778 MAIN ST LAND TR Fee Owner,"$520,880","$66,971",$0,$0.00,$0.00,$0.00
6826 MAIN ST,COMMERCIAL B,"4,840",6826 MAIN ST LAND TR Fee Owner,"$251,846","$22,110",$0,$0.00,$0.00,$0.00
3211 MAIN ST,RESIDENTIAL A,"5,241",3211 MAIN ST LAND TR Fee Owner,"$173,873","$116,883",$0,$0.00,$0.00,$0.00
3685 MAIN ST,RESIDENTIAL B,"6,708",3685 MAIN ST LAND TR Fee Owner,"$747,451","$16,172",$0,$0.00,$0.00,$0.00
5345 MAIN ST,COMMERCIAL B,"9,323",5345 MAIN ST LAND TR Fee Owner,"$931,290","$81,604",$0,$0.00,$0.00,$0.00
9868 MAIN ST,RESIDENTIAL A,"7,736",9868 MAIN ST LAND TR Fee Owner,"$374,643","$65,393",$0,$0.00,$0.00,$0.00
5604 MAIN ST,COMMERCIAL A,"7,650",5604 MAIN ST LAND TR Fee Owner,"$168,332","$47,593",$0,$0.00,$0.00,$0.00
2350 MAIN ST,RESIDENTIAL A,"3,613",2350 MAIN ST LAND TR Fee Owner,"$460,374","$77,925",$0,$0.00,$0.00,$0.00
6929 MAIN ST,RESIDENTIAL A,"6,311",6929 MAIN ST LAND TR Fee Owner,"$230,276","$159,733",$0,$0.00,$0.00,$0.00
3715 MAIN ST,COMMERCIAL B,"1,706",3715 MAIN ST LAND TR Fee Owner,"$617,521","$152,602",$0,$0.00,$0.00,$0.00
1671 MAIN ST,COMMERCIAL A,"1,471",1671 MAIN ST LAND TR Fee Owner,"$290,559","$64,693",$0,$0.00,$0.00,$0.00
1564 MAIN ST,COMMERCIAL A,"4,015",1564 MAIN ST LAND TR Fee Owner,"$822,336","$85,801",$0,$0.00,$0.00,$0.00
3962 MAIN ST,COMMERCIAL A,"4,684",3962 MAIN ST LAND TR Fee Owner,"$848,785","$126,484",$0,$0.00,$0.00,$0.00
3467 MAIN ST,COMMERCIAL B,"5,005",3467 MAIN ST LAND TR Fee Owner,"$859,008","$196,061",$0,$0.00,$0.00,$0.00
2357 MAIN ST,RESIDENTIAL A,"3,222",2357 MAIN ST LAND TR Fee Owner,"$607,819","$160,328",$0,$0.00,$0.00,$0.00
1058 MAIN ST,RESIDENTIAL A,"3,838",1058 MAIN ST LAND TR Fee Owner,"$682,030","$67,180",$0,$0.00,$0.00,$0.00
1125 MAIN ST,COMMERCIAL A,"4,412",1125 MAIN ST LAND TR Fee Owner,"$291,459","$115,769",$0,$0.00,$0.00,$0.00
3952 MAIN ST,RESIDENTIAL B,"1,544",3952 MAIN ST LAND TR Fee Owner,"$162,089","$156,548",$0,$0.00,$0.00,$0.00
1060 MAIN ST,RESIDENTIAL A,"4,660",1060 MAIN ST LAND TR Fee Owner,"$841,880","$120,448",$0,$0.00,$0.00,$0.00
5184 MAIN ST,RESIDENTIAL A,"1,795",5184 MAIN ST LAND TR Fee Owner,"$455,306","$136,188",$0,$0.00,$0.00,$0.00
5419 MAIN ST,COMMERCIAL A,"8,880",5419 MAIN ST LAND TR Fee Owner,"$417,973","$184,934",$0,$0.00,$0.00,$0.00
